lobbyistName	lobbyistLastName	lobbyistFirstName	lobbyistFirmName	lobbyistZip	primaryLobbyistID	annualLobbyistRegistrationID	clientName	clientAdress	clientCity	clientState	clientZip	clientPhone	industryTradeType	businessType	clientBeginDate	clientEndDate	clientStatus	ceoNames	fiscalYear	runDate
76 Group			76 Group	80231	20135004567	20235079376	Affordable Manufactured Housing Group	4535 E Colfax Ave	Denver	CO	80220	303-756-0500	Housing	Professional Association	03/01/2022	01/01/2024	Inactive		2023-2024	02/28/2024
76 Group			76 Group	80231	20135004567	20235079376	Bally's Corporation	100 Westminster St	Providence	RI	02903	401-475-8474	Gaming	Business Entity	10/20/2023		Active  	Reeves, Robeson	2023-2024	02/28/2024
76 Group			76 Group	80231	20135004567	20235079376	Boehringer - Ingelheim	900 Ridgebury Road	Ridgefield	CT	06877	203-778-7917	Healthcare/Medical	Business Entity	01/24/2018		Active  		2023-2024	02/28/2024
76 Group			76 Group	80231	20135004567	20235079376	Check into Cash c/o MultiState Associates Inc.	201 Keith Street, Suite 80	Cleveland	TN	37311	423479-2400	Financial/Investment	Business Entity	02/27/2014	01/01/2024	Inactive		2023-2024	02/28/2024
76 Group			76 Group	80231	20135004567	20235079376	City of Brighton	500 S. 4th Ave	Brighton	CO	80601	303-655-2165	Government/Civil	Government	01/01/2023	01/01/2024	Inactive		2023-2024	02/28/2024
76 Group			76 Group	80231	20135004567	20235079376	City of Greeley	1100 10th Street	Greeley	CA	80631	970-381-1495	Government/Civil	Government	01/05/2023	01/01/2024	Inactive		2023-2024	02/28/2024
76 Group			76 Group	80231	20135004567	20235079376	Colorado Coming Together	820  S Monaco Parkway, Suite 227	Denver	CO	80224	720-773-1526	Political Organizations	Organization	08/31/2020	01/01/2024	Inactive		2023-2024	02/28/2024
76 Group			76 Group	80231	20135004567	20235079376	Colorado Communications and Utility Alliance	P.O. Box 6094	Denver	CO	80206	720-865-2308	Telecomm Trade Assoc	Professional Association	09/01/2022	01/01/2024	Inactive		2023-2024	02/28/2024
76 Group			76 Group	80231	20135004567	20235079376	Colorado Hospital Association	7335 East Orchard Road	Greenwood Village	CO	80111	720-489-1630	Healthcare/Medical	Professional Association	02/10/2017	01/01/2024	Inactive		2023-2024	02/28/2024
76 Group			76 Group	80231	20135004567	20235079376	Colorado Manufactured House Coalition	136 Heber Ave, Suite 308	Park City	UT	84060	863-402-9395	Trade Association for Housing Manufacturers	Professional Association	08/01/2022	01/01/2024	Inactive		2023-2024	02/28/2024
