lobbyistName	lobbyistLastName	lobbyistFirstName	lobbystFirmName	lobbyistZip	primaryLobbyistID	annualLobbyistRegistrationId	clientName	clientZip	businessType	industryTradeType	incomeAmount	dateIncomeReceived	reportMonth	reportDueDate	fiscalYear	runDate
76 Group			76 Group	80231	20135004567	20235079376	Bally's Corporation	02903	Business Entity	Gaming	5,000	01/31/2024	January  	02/15/2024	2023-2024	02/28/2024
76 Group			76 Group	80231	20135004567	20235079376	Boehringer - Ingelheim	06877	Business Entity	Healthcare/Medical	4,000	01/31/2024	January  	02/15/2024	2023-2024	02/28/2024
76 Group			76 Group	80231	20135004567	20235079376	Common Sense Institute	80111	Organization	Small Association of Concerned Citizens	2,000	01/31/2024	January  	02/15/2024	2023-2024	02/28/2024
76 Group			76 Group	80231	20135004567	20235079376	Community Choice Financial	43017	Business Entity	Financial/Investment	3,500	01/31/2024	January  	02/15/2024	2023-2024	02/28/2024
76 Group			76 Group	80231	20135004567	20235079376	McLane Company, Inc.	76504	Business Entity	Transportation	5,000	01/31/2023	January  	02/15/2024	2023-2024	02/28/2024
76 Group			76 Group	80231	20135004567	20235079376	Synthetic Turf Council	21050	Professional Association	Construction/Engineering	5,000	01/31/2023	January  	02/15/2024	2023-2024	02/28/2024
76 Group			76 Group	80231	20135004567	20235079376	Teladoc	94965	Business Entity	Healthcare/Medical	5,000	01/31/2024	January  	02/15/2024	2023-2024	02/28/2024
76 Group			76 Group	80231	20135004567	20235079376	Bally's Corporation	02903	Business Entity	Gaming	2,000	12/31/2023	December 	01/16/2024	2023-2024	02/28/2024
76 Group			76 Group	80231	20135004567	20235079376	Boehringer - Ingelheim	06877	Business Entity	Healthcare/Medical	4,000	12/31/2023	December 	01/16/2024	2023-2024	02/28/2024
76 Group			76 Group	80231	20135004567	20235079376	City of Greeley	80631	Government	Government/Civil	2,500	12/31/2023	December 	01/16/2024	2023-2024	02/28/2024
76 Group			76 Group	80231	20135004567	20235079376	Colorado Manufactured House Coalition	84060	Professional Association	Trade Association for Housing Manufacturers	5,500	12/30/2023	December 	01/16/2024	2023-2024	02/28/2024
76 Group			76 Group	80231	20135004567	20235079376	Common Sense Institute	80111	Organization	Small Association of Concerned Citizens	2,000	12/31/2023	December 	01/16/2024	2023-2024	02/28/2024
76 Group			76 Group	80231	20135004567	20235079376	McLane Company, Inc.	76504	Business Entity	Transportation	5,000	12/31/2023	December 	01/16/2024	2023-2024	02/28/2024
